,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
2306,2 BHK Independent Builder Floor for rent in Whitefield,Whitefield,Lakshmi Enclave,21500,1250,2,2,"Near by school and super market , malls
 Additional details :

The property has a dedicated security guard.
It is under cctv surveillance.
There is also a lift to make the living more convenient specially for old age people
You can easily park your car inside the compound.
 The house has boring.
Full power backup available.
The kitchen has been built with modular fittings."
2307,2 BHK Independent Builder Floor for rent in Hennur,Hennur,,20000,1000,2,2,"Independent/builder floor is available for rent.It has good design of 2 bedrooms. Non-Stop water supply in 2 bathrooms .Situated in hennur.Area of the construction is 1000 (Builtup area) it has been priced at 20,000.Located on 2nd of 3 floors,.Construction ages only 0 to 1 year old. It is an east facing property. East facing properties are at excellence in peace, harmony, health, wealth and development."
2308,1 BHK Residential Apartment for rent in 1st Block Jayanagar,1st Block Jayanagar,on request,16000,700,1,1,"Only vegetarians preferred. Monthly ren rs.16000/month. Negotiable
 Additional details :

No power backup is available.
The apartment has borings water supply."
2309,1 BHK Independent Builder Floor for rent in Brookefield,Brookefield,,18000,723,1,1,"Builder floor available on rent in brookefield, bangalore east. Contact us for price details.
 Additional details :

The property has a dedicated security guard.
It is under cctv surveillance.
There is also a lift to make the living more convenient specially for old age people
You can easily park your car inside the compound.
 The house has boring.
Full power backup available.
The kitchen has been built with modular fittings.
Piped gas facility is available."
2310,1 BHK Independent Builder Floor for rent in Kasavanhalli,Kasavanhalli,Sjr Verity Kasavanhalli,21000,700,1,1,"1bhk furnished flat available with play area in bengaluru 
Address : Ias layout, eastwood twp, kasavanahalli, karnataka 560035 

Rent : 21000
Deposit : 50000
Fully furnished, 1bhk , entire home

Amenities : Cable tv, balcony, smoking, fans, dustbin, center table, stove & cylinder, kitchen with utensils, caretaker, wardrobes, geysers, bucket & mugs, sofa or deewan, refrigerator, elevator, lights, calling bell, curtains, cot mattress, common washing machine"
2311,2 BHK Residential Apartment for rent in Chandapura,Chandapura,Nisarga Sarovara Chandapura,9000,980,2,2,"Two bedroom semi furnished with good and peaceful location. Power backup , water all time , swimming pool, parking available"
2312,3 BHK Residential Apartment for rent in Thanisandra,Thanisandra,G Corp The Icon,28000,2100,3,4,"3 bhk flat available for rent in thanisandra, bangalore north. It is located in g corp the icon, which is a very good society. The space is semi-Furnished, located on 7th floor of 21 floors. It has 3 bedrooms, 4 bathrooms and 3 balcony(s). It is an ideal accommodation for all and has a super built-Up area of 2100. 0 sq. Ft. It includes 3 wardrobe(s), 1 modular kitchen, 4 geyser(s), 9 fan(s), 16 light(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s). It is a 0-1 years. There is 1 covered parking. Available for a monthly rent of rs. 29000 and a security deposit of rs. 150000."
2313,3 Bedroom Independent House for rent in 3rd Block Jayanagar,3rd Block Jayanagar,,36000,1900,3,2,"Neatly maintained home. Very close to jayanagar bda complex.
 Additional details :

Having a provision to park 0 cars.
 The house has muncipal supply supply.
The kitchen has been built with modular fittings.
The property is facing a beautiful park."
2314,3 BHK Residential Apartment for rent in Rajaji Nagar,Rajaji Nagar,Renaissance Park 3,35000,1755,3,3,Its an semi furnihed flat with fully ventilated with un expected view with all amenties very closer to world trade centre and shopping complex etc
2315,1 Bedroom Independent House for rent in Padmanabhanagar,Padmanabhanagar,,7000,1000,1,1,"We are looking to rent out house for office/commercial purposes/residential purpose for bachelors and students. The house is located very near to devegowda petrol bunk and banashanakari bda complex.1bhk house with kitchen,bathroom,hall.Both 2/4 wheeler parking is provided.
 Additional details :

Having a provision to park 0 cars.
 The house has boring supply.
The property is located on the main road"
2316,3 BHK Residential Apartment for rent in Lingadheeranahalli,Lingadheeranahalli,Sobha Forest View,28000,1745,3,3,"An excellent 3 bhk residential apartment for rent in lingadheeranahalli, bangalore south. It is a very good property and has 2 balcony(s) which make the apartment more spacious. It is available for family. We are looking for rs. 28000. It is on the 17th floor. 1 covered parking."
2317,3 BHK Residential Apartment for rent in Kalena Agrahara,Kalena Agrahara,Purva Panorama,27000,1445,3,2,"Spacious 3 bhk flat on rent in purva panorama in bannerghatta road near meenakshi mall / temple at very reasonable rent;

1) 3 bhk - 2 bath..
2) 1445 sft..
3) semi-Furnished..
4) rent = 27,000/- Month (Rent is inclusive of maintenance charges).
5) modular kitchen, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking.
6) amenities like, pool, gym, health club, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facility, hospitals, auto stand and frequent bus facility."
2318,3 BHK Residential Apartment for rent in Yeshwanthpur Industrial Suburb,Yeshwanthpur Industrial Suburb,Renaissance Temple Bells,38000,1770,3,3,"The property is a 3 bhk flat in amrapali silicon city project facing the main road  it has major amenities like gym, water facility, electricity, power back, swimming  pool, markets, temples hospitals and others .  It is close to railway station and metro also. It includes 3 wardrobe(S), 1 modular kitchen, 3 geyser(S), 5 fan(S), 10 light(S) and 1 exhaust fan(S) and has facilities like intercom facility, lift(S), park, maintenance staff, visitor parking, water storage and security/fire alarm etc. In addition, it has vitrified flooring. It is a 5-10 year old property. Since it is located in a gated society, you can be assured of security. The flat is north-East facing. There is 1 covered parking. Full power back up. Available for a monthly rent of rs. 38000 and a security deposit of 10 months rent.
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
Piped gas facility is available in the property."
2319,3 BHK Residential Apartment for rent in Yeshwanthpur Industrial Suburb,Yeshwanthpur Industrial Suburb,Renaissance Temple Bells,35000,1770,3,3,"An excellent 3 bhk residential apartment for rent in mahalakshmi layout, bangalore west. It is a very good property and has 2 balcony(s) which make the apartment more spacious. In addition, it has study room and is available for all. We are looking for rs. 34000. It is on the 5th floor and has vitrified flooring. It is a south-East facing property and has intercom facility, lift(s), maintenance staff, water storage and visitor parkin etc. The society too has features like club house/community center, fitness centre/gym, swimming pool, park, security personnel and water softening plant which adds to the attractiveness of the property. 1 covered parking. Partial power back up."
2320,3 BHK Residential Apartment for rent in Yeshwanthpur Industrial Suburb,Yeshwanthpur Industrial Suburb,Esteem Classic,35000,1793,3,3,"3 Bhk Flat Available For Rent In Yeshwanthpur Industrial Suburb, Bangalore North. It Is Located In Esteem Classic, Which Is A Very Good Society. The Space Is Semifurnished, Located On 6th Floor Of 11 Floors. It Has 3 Bedrooms, 3 Bathrooms And 2 Balcony(S). The Flat Is Built On The Principles Of Feng-Shui/vaastu. It Is An Ideal Accommodation For All And Has A Super Built-Up Area Of 1793 Sq. Ft. It Includes 3 Wardrobe(S), 1 Modular Kitchen, 3 Geyser(S), 3 Fan(S) And 1 Exhaust Fan(S) And Has Facilities Like Intercom Facility, Lift(S), Maintenance Staff, Park, Visitor Parking, Water Storage And Security/fire Alarm Etc. In Addition, It Has Vitrified Flooring. It Is A 5-10 Year Old Property. Since It Is Located In A Gated Society, You Can Be Assured Of Security. The Flat Is East Facing. There Is 1 Covered Parking. Partial Power Back Up. Available For A Monthly Rent Of Rs. 35000 And A Security Deposit Of 10 Months Rent."
2321,3 BHK Independent Builder Floor for rent in Nagarbhavi,Nagarbhavi,,20000,1300,3,3,"Independent/builder floor is available for rent.Construction ages only 0-1 years old propertysituated in nagarbhavi.Area of the construction is 1300.00 sq.Ft.(Builtup area) it has been furnished.It has good design of 3 bedrooms. Non-Stop water supply in 3 bathrooms .It has been priced at rs 20000.Located on 1st floor out of 2.
 Additional details :

You can easily park your car inside the compound.
 The house has muncipal supply.
No power backup available.
The kitchen has been built with modular fittings.
Piped gas facility is available."
2322,4 Bedroom Independent House for rent in Kadugodi,Kadugodi,,50000,3500,4,4,4bhk indipendent  house villa available for rent in kadugodi near shell petrol  bunk on main road also near to o farm signal towards old madras road.
2323,2 Bedroom Independent House for rent in Kadugondanahalli,Kadugondanahalli,,14400,1300,2,2,"The house is semi furnished with wardrobes and basic electric fittings.It has easy access to market, schools, hospitals, banks and atm's as well."
2324,2 Bedroom Independent House for rent in Kadugondanahalli,Kadugondanahalli,,14400,1300,2,2,"The house is semi furnished with wardrobes and basic electric fittings.It has easy access to market, schools, hospitals, banks and atm's as well."
2325,2 BHK Residential Apartment for rent in Kothannur,Kothannur,vasantha t r park,18000,1050,2,2,"I want to rent out a 2 bhk apartment available in vasantha tap park, kothannur, bangalore south. Located in a serene place, it has a super built-Up area of 1050. 0 sq. Ft. It is an attractive and a newly constructed property. The property has an amazing location and is semi-Furnished. It has 1 balcony(s) which offer an excellent view.
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
No power backup is available.
The apartment has borings water supply."
2326,2 Bedroom Independent House for rent in Gottigere,Gottigere,,16200,1200,2,2,"The house is semi furnished with wardrobes and basic electric fittings.It has easy access to market, schools, hospitals, banks and atm's as well."
2327,1 BHK Residential Apartment for rent in Munnekollal,Munnekollal,AMOGH residency,13500,500,1,1,"1 bhk flat for rent rent in ready moving
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
The apartment has borings water supply."
2328,1 BHK Residential Apartment for rent in Yemlur,Yemlur,Sri Nanjudeswara Apartment,15000,1100,1,1,"An excellent 1 bhk residential apartment for rent in kaggadasapura, bangalore east. It is a very good property and has 1 balcony(s) which make the apartment more spacious. It is available for all. We are looking for rs. 15000. It is on the 2nd floor. 1 open parking.
And please whatsapp me i sher you 1 r 2 3 bhk's for rentals leas and sale property's i sher videos and location i have multiple options for you thank you"
2329,1 Bedroom Independent House for rent in Parappana Agrahara,Parappana Agrahara,Nestaway-15944,9000,600,1,1,"A very good 1 bhk flat for rent in , parappana agrahara, bangalore south. It is a superb property and offers an excellent view. The flat is semi-Furnished with multiple amenities and promises a comfortable stay. It has a built up area of 600 sq. Yards. East facing. 1 covered parking."
2330,1 BHK Independent Builder Floor for rent in B K Nagar,B K Nagar,,7000,400,1,1,"Nearest to bus stop railway station jp park easy access to market also.
 Additional details :

It is under cctv surveillance.
 The house has muncipal supply.
No power backup available.
The property is facing a park."
2331,3 BHK Residential Apartment for rent in Queens Road,Queens Road,Queens Coner,48000,2000,3,3,"A very good 3 bhk flat for rent in queens road, bangalore central. It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. It has a super built-Up area of 2000. 0 sq. Ft. 1 covered parking. A company lease is required."
2332,3 BHK Residential Apartment for rent in Whitefield,Whitefield,The Five Summits Address,49500,2150,3,3,"A 3 bhk apartment is available for rent in whitefield, bangalore east. This apartment is on the 5th of 13 floors in the five summits address. The built-Up area is 2150 sq. Ft. This is semifurnished apartment. The furnishings include:
 * 3 wardrobe(s)
 * 1 modular kitchen
 * 3 geyser(s)
 * 5 fan(s)
 * 5 light(s)
 * 1 water purifier(s)
 * 1 curtain(s)
 * 1 chimney(s)
 * 1 exhaust fan(s)
 This apartment comes with 3 bathroom(s). The apartment with 2 balconies
 Is available for all.
It is a feng-Shui/vaastu compliant property. 
The apartment is centrally air-Conditioned. Additionally it has features like internet/wi-Fi connectivity, water purifier and piped-Gas. With features like lift(s), park, maintenance staff, visitor parking, water storage, security/fire alarm and intercom facility, the society offers a convenient living. It also has other features like rain water harvesting and waste disposal.
This property is in a gated society and has full power back up. The society has various amenities like club house/community center, fitness centre/gym, swimming pool, park, water softening plant, shopping centre and security personnel.
There is one covered parking space.
The expected monthly rental is rs. 49500/-(Price negotiable). Some of the additional costs include security of rs. 300000/- (Fixed)."
2333,1 BHK Independent Builder Floor for rent in Munnekollal,Munnekollal,,16000,682,1,1,"Builder floor available on rent in munnekollal, bangalore east. Contact us for price details.
 Additional details :

The property has a dedicated security guard.
It is under cctv surveillance.
There is also a lift to make the living more convenient specially for old age people
You can easily park your car inside the compound.
 The house has boring.
Full power backup available.
The kitchen has been built with modular fittings.
Piped gas facility is available."
2334,2 BHK Independent Builder Floor for rent in Sector 2 HSR Layout,Sector 2 HSR Layout,,29000,1200,2,2,2 bhk property in hsr layout sector 1 near by 27 men chest workable to outer ring road modular kitchen ice house 24 hours cauvery water with two wheeler parking how should be very modern and very spacious cash for vastu compliant
2335,3 BHK Residential Apartment for rent in Kasavanhalli,Kasavanhalli,HM Symphony,41000,1750,3,3,"This is a spacious and thoughtfully designed 3 bhk apartment for rent in kasavanhalli, bangalore east. This 1-5 year old property is a part of hm symphony. It is on the 7th floor of 15 floors and has a super built-Up area 1750 sq. Ft. This well designed apartment has 3 bathroom(s). This is a north-East facing apartment.
Only families can rent the apartment.
The apartment with vitrified flooring has 2 balconies.

You get this apartment furnished with 3 wardrobe(s), 1 modular kitchen, 4 fan(s) and 7 light(s).
This feng-Shui/vaastu compliant apartment has a piped-Gas.
This property faces a 30 feet wide road. The society is equipped with features like club house/community center, fitness centre/gym, intercom facility, lift(s), piped-Gas, security personnel, swimming pool, park, rain water harvesting and water storage. It also has a number of lifestyle amenities like club house/community center, fitness centre/gym, security personnel, swimming pool and park. 
You get uninterruptable power supply as the society has full power back up.
Situated in a gated society, you get one covered parking.
The apartment is available at a monthly rent of rs. 41000/-. There are also some additional costs like security of rs. 300000, rs. 41000 as booking amount and rs 41000 as brokerage amount (Fixed)."
2336,1 Bedroom Independent House for rent in Sadduguntepalya,Sadduguntepalya,Nestaway-134729,10000,3600,1,1,"1 bhk apartment for rent in sadduguntepalya, bangalore south. It is a semi-Furnished apartment, located on the 1st floor of 4 floors. It is also equipped with 1 wardrobe(s), 1 fan(s) and 1 light(s). It is immediately available for single women for rs. 10000 monthly. It is a 1-5 years and also has 1 covered parking. It has a built up area of 400 sq. Yards. Tenant needs to make a security deposit of rs. 20000."
2337,1 BHK Residential Apartment for rent in Hosakerehalli Layout,Hosakerehalli Layout,Nestaway-13487,11000,9000,1,1,"1 bhk apartment for rent in hosakerehalli layout, bangalore south. It is a semi-Furnished apartment, located on the 1st floor of 4 floors. It is also equipped with 1 wardrobe(s), 1 fan(s) and 1 light(s). It is immediately available for single women for rs. 11000 monthly. It is a 1-5 years and also has 1 covered parking. It has a built up area of 1000 sq. Yards. Tenant needs to make a security deposit of rs. 22000."
2338,3 BHK Residential Apartment for rent in Bellandur,Bellandur,Assetz East Point,60000,2170,3,3,It is a good property available for all bachelors as well as a good family and it is ready to move and it is situated in a good location and it is a duplex house and it is a new property with covered car parking and with all amenities.
2339,3 Bedroom Independent House for rent in Hennur Bande,Hennur Bande,,28800,2200,3,3,"The house is semi furnished with wardrobes and basic electric fittings.It has easy access to market, schools, hospitals, banks and atm's as well."
2340,2 BHK Independent Builder Floor for rent in Cambridge Layout,Cambridge Layout,Infant Jasmine,28000,1250,2,2,"Infants jasmine bilder floor apartment,its 2bhk,on 2nd floor,open for all,please call us for more info."
2341,3 BHK Residential Apartment for rent in Yeshwanthpur,Yeshwanthpur,Assetz Lumos,38000,1876,3,3,"3 bhk flat available for rent in yeshwanthpur, bangalore north. It is located in assetz lumos, which is a very good society. The space is semifurnished, located on 7th floor of 15 floors. It has 3 bedrooms, 3 bathrooms and 3 balcony(S). The flat is built on the principles of feng-Shui/vaastu. It is an ideal accommodation for all and has a super built-Up area of 1876 sq. Ft. It includes 6 wardrobe(S), 1 bed(S), 1 modular kitchen, 3 geyser(S), 1 sofa(S), 6 fan(S), 10 light(S), 1 stove(S), 1 water purifier(S), 1 curtain(S), 1 chimney(S) and 1 exhaust fan(S) and has facilities like lift(S), park, maintenance staff, visitor parking, water storage, intercom facility and security/fire alarm etc. In addition, it has vitrified flooring. It is a 0-1 year old property. Since it is located in a gated society, you can be assured of security. The flat is east facing. There is 2 covered parking. Full power back up. Available for a monthly rent of rs. 38000 and a security deposit of rs. 250000."
2342,3 BHK Residential Apartment for rent in Yeshwanthpur,Yeshwanthpur,RNS Shanthi Nivas,45000,1850,3,3,"3 bhk apartment for rent in yeshwanthpur, bangalore north. It is a semifurnished apartment, located on the 10th floor of 13 floors. The apartment has 3 bedrooms 3 bathrooms 1 balcony(s). It is also equipped with 3 wardrobe(s) and 1 modular kitchen. It has vitrified flooring. It is immediately available for all for rs. 45000 monthly. The rent is negotiable. It is a 1-5 year old property and also has 1 covered parking and 0 open parking. It has a built up area of 1850 sq. Ft. It has intercom facility, lift(s), maintenance staff, park, visitor parking, water storage and security/fire alarm. The property amenities include piped-Ga. Other features include club house/community center, fitness centre/gym, swimming pool, security personnel and shopping centr etc. There is also a provision for rain water harvesting. Tenant needs to make a security deposit of rs. 450000. No power cut."
2343,3 BHK Residential Apartment for rent in Whietfield,Whietfield,Apartment,30000,1200,3,3,"This is a spacious and thoughtfully designed 3 bhk apartment for rent in whietfield, bangalore central. This 0-1 year old property is a part of apartment. It is on the 3rd floor of 8 floors and has a super built-Up area 1200 sq. Ft. Carpet area is 1000 sq. Ft. This well designed apartment has 3 bathroom(s).
Only families can rent the apartment.
The apartment with marble flooring has 2 balconies.

You get this apartment semifurnished with 3 wardrobe(s), 1 modular kitchen and 1 fridge(s).
The society is equipped with features like lift(s). 
You get uninterruptable power supply as the society has full power back up.
The apartment is available at a monthly rent of rs. 30000/-. There are also some additional costs like security of rs. 75000."
2344,3 BHK Residential Apartment for rent in Whietfield,Whietfield,Apartment,27300,1200,3,3,"A very good 3 bhk flat for rent in apartment, whietfield, bangalore central. It is a superb property and offers an excellent view. The flat is semifurnished with multiple amenities and promises a comfortable stay. It has a super built-Up area of 1200 sq. Ft. Other facilities include lift(s) etc. It also has marble flooring. Full power back up."
2345,"2 BHK Residential Apartment for rent in Nyanappanahalli Village, Begur Hobli","Nyanappanahalli Village, Begur Hobli",NIRMAL BASKARAN,15000,1000,2,2,"This is a spacious and thoughtfully designed 2 bhk apartment for rent in nyanappanahalli village begur hobli, bangalore north. This 0-1 year old property is a part of nirmal baskaran. It is on the 1st floor of 4 floors and has a super built-Up area 1000 sq. Ft. The built-Up area is 900 sq. Ft. This well designed apartment has 2 bathroom(s). This is a north facing apartment.
Only families can rent the apartment.
This apartment has a single balcony.

You get this apartment semifurnished with 1 wardrobe(s).

Situated in a gated society, you get one covered parking.
The apartment is available at a monthly rent of rs. 15000/-. There are also some additional costs like security of rs. 39500 and rs 7500 as brokerage amount (Fixed)."
2346,1 BHK Independent Builder Floor for rent in Hulimavu,Hulimavu,anjanadrinilaya,10000,1000,1,1,This beautiful 1 bhk semi furnished house is located in the heart of hulimavu bangalore priced at 10000 for full house with a 3 months deposit of 35000 security deposit it is easily accessible and well connected with a floor area of 450 sqft this house features modular kitchen and more it also has one bathroom with appropriate facilities book now and make it yours
2347,1 BHK Independent Builder Floor for rent in Hulimavu,Hulimavu,srinivasam,15700,1000,1,1,Located at hulimavu bangalore this comfortable 1 bhk semi furnished house which is priced at 15700 for full house with a security deposit of 42850 with a floor size of 700 sqft this house features modular kitchen washing machine fridge sofa and tv and more the house features one bathroom book now and enjoy the comfort
2348,2 BHK Independent Builder Floor for rent in krpuram,krpuram,"bhivrudhi layout,",12000,1000,2,2,Looking for a quiet 2 bhk semi furnished independent house house for boys girls and family at an affordable price in bengaluru bangalore then this is right one for you this house has a floor size of 700 sqft which features two bedrooms and one bathroom priced at 12000 for full house you need to put down an initial 2 months security deposit of 36000 it is great value for money book now before somebody else does
2349,2 BHK Independent Builder Floor for rent in Krishnarajapura,Krishnarajapura,Devendra Nilaya,13250,1300,2,2,This quiet semi furnished 2 bhk apartment for boys girls and family is located at krishnarajapura bangalore and is close to the major commercial centres of the area this apartment with a floor space of 1100 sqft in total this house features modular kitchen and more it has two bathrooms with all facilities it can be rented at 13250 for full house book it now
2350,3 BHK Independent Builder Floor for rent in Doddanekkundi,Doddanekkundi,"Flushing Meadows,",45500,1300,3,3,"This charming semi furnished 3 bhk apartment for boys, girls and family is located at doddanekkundi bangalore and is close to the major commercial centres of the area this apartment with a floor space of 1250 sqft in total it has two bathrooms with all facilities it can be rented at 45500 for full house book it now"
2351,1 BHK Independent Builder Floor for rent in Mahadevapura,Mahadevapura,"Sri Nilayam,",13500,600,1,1,Looking for a spacious 1 bhk semi furnished independent house house for boys girls and family at an affordable price in mahadevapura bangalore then this is right one for you this house has a floor size of 450 sqft which features one bedroom and one bathroom priced at 13500 for full house you need to put down an initial 3 months security deposit of 40500 it is great value for money book now before somebody else does
2352,1 BHK Independent Builder Floor for rent in Mahadevapura,Mahadevapura,OM SAI KRUPA,13000,1000,1,1,Looking for a quiet 1 bhk semi furnished independent house house for boys girls and family at an affordable price in mahadevapura bangalore then this is right one for you this house has a floor size of 600 sqft which features one bedroom and one bathroom priced at 13000 for full house you need to put down an initial 2 months security deposit of 39000 it is great value for money book now before somebody else does
2353,1 Bedroom Independent House for rent in dasarahalli,dasarahalli,Anjanappa Munegowda,11200,400,1,1,1 bhk semi furnished flat for rent in jnana ganga nagar for11200bangalore
2354,3 BHK Residential Apartment for rent in 6th Phase JP Nagar,6th Phase JP Nagar,Purvan Belmonte,33900,1890,3,3,This property is located in jp nagar 6th phase kanakpura main road outer ring road 80 feet road one of the prime location in jp nagar 6th phase and its a gated society live 24/7 security cc camera for wake up car parking 2 wheeler parking indoor game outdoor game something full gym also available and it's very close to metro station bank atm fruits of vegetable shop grocery shop it's all adjust walkable distance from this apartment one of the prime location in jp nagar 6th phase one has done very very interior ventilation also very good
2355,3 BHK Residential Apartment for rent in 6th Phase JP Nagar,6th Phase JP Nagar,Purvan Belmonte,33900,1890,3,3,This property is located in jp nagar 6th phase kanakpura main road outer ring road 80 feet road one of the prime location in jp nagar 6th phase and its a gated society live 24/7 security cc camera for wake up car parking 2 wheeler parking indoor game outdoor game something full gym also available and it's very close to metro station bank atm fruits of vegetable shop grocery shop it's all adjust walkable distance from this apartment one of the prime location in jp nagar 6th phase one has done very very interior ventilation also very good
2356,3 BHK Residential Apartment for rent in jalahalli metro station,jalahalli metro station,Vaishnavi Gardenia,30000,1500,3,2,"Vaishnavi gardenia is an upscale residential community nestled amidst swathes of greenery and natural landscapes. Unique in its design and contemporary in its finish, the project is home to 628 sublime 1, 2 and 3 bedroom apartments strung together to give you the best of urban living. Each of the apartments have distinctive designs and are all located amidst some of the finest natural beauty.Vaishnavi gardenia was awarded ""the most admired upcoming project"" at the 2nd estrade awards(2016) in singapore. Triumphing over 200 contending projects, gardenia has established its credentials as amongst the best upcoming residential projects in bangalore.The unmistakable contours of gardenia that descend from east to west and north to south are perfectly blended into floor levels with balconies. This lends a very distinct look to the entire structure and brings uniqueness to the overall landscape. Uniqueness of the designs is not just limited to the overall structure but percolates downwards into amphitheatre, mini golf, beach volleyball, outdoor gym and other areas to keep the look consistent and free-Flowing. Wide open spaces accentuate the overall ergonomics whereas the intelligent use of space allow for more facilities to be packed-In.Further accentuating the environmental friendly theme of the project, vaishnavi gardenia has adopted extensive recycling facilities to re-Use waste in an ecologically friendly manner."
2357,3 BHK Residential Apartment for rent in jalahalli metro station,jalahalli metro station,Vaishnavi Gardenia,30000,1500,3,2,"Vaishnavi gardenia is an upscale residential community nestled amidst swathes of greenery and natural landscapes. Unique in its design and contemporary in its finish, the project is home to 628 sublime 1, 2 and 3 bedroom apartments strung together to give you the best of urban living. Each of the apartments have distinctive designs and are all located amidst some of the finest natural beauty.Vaishnavi gardenia was awarded ""the most admired upcoming project"" at the 2nd estrade awards(2016) in singapore. Triumphing over 200 contending projects, gardenia has established its credentials as amongst the best upcoming residential projects in bangalore.The unmistakable contours of gardenia that descend from east to west and north to south are perfectly blended into floor levels with balconies. This lends a very distinct look to the entire structure and brings uniqueness to the overall landscape. Uniqueness of the designs is not just limited to the overall structure but percolates downwards into amphitheatre, mini golf, beach volleyball, outdoor gym and other areas to keep the look consistent and free-Flowing. Wide open spaces accentuate the overall ergonomics whereas the intelligent use of space allow for more facilities to be packed-In.Further accentuating the environmental friendly theme of the project, vaishnavi gardenia has adopted extensive recycling facilities to re-Use waste in an ecologically friendly manner."
2358,1 BHK Independent Builder Floor for rent in Munnekollal,Munnekollal,,15000,550,1,1,"1bhk house is available for rent anyone interested call to this numbers for details
 Additional details :

The property has a dedicated security guard.
It is under cctv surveillance.
There is also a lift to make the living more convenient specially for old age people
You can easily park your car inside the compound.
Each house has a dedicated water tank.
 The house has muncipal supply.
Full power backup available.
The kitchen has been built with modular fittings.
The property is facing a park."
2359,3 Bedroom Independent House for rent in Ardendale,Ardendale,Alliance 10 Downing,40000,2400,3,3,"House/villa available on rent in ardendale, bangalore east. Contact us for price details."
2360,3 BHK Residential Apartment for rent in Brunton Road,Brunton Road,Royal Residency,70000,1650,3,3,"3 bhk flat available for rent in brunton road, bangalore central. It is located in royal residency, which is a very good society. The space is semifurnished, located on 2nd floor of 5 floors. It has 3 bedrooms, 3 bathrooms and 3 balcony(S). The flat is built on the principles of feng-Shui/vaastu. It is an ideal accommodation for all and has a super built-Up area of 1650 sq. Ft. It includes 29 wardrobe(S), 1 modular kitchen, 4 geyser(S), 6 fan(S), 9 light(S), 1 water purifier(S), 1 curtain(S), 1 chimney(S) and 1 exhaust fan(S) and has facilities like lift(S), intercom facility, security/fire alarm, park, maintenance staff, visitor parking and water storage etc. In addition, it has vitrified flooring. It is a 0-1 year old property. Since it is located in a gated society, you can be assured of security. The flat is north-East facing. There is 1 covered parking and 0 open parking. Full power back up. Available for a monthly rent of rs. 70000 and a security deposit of rs. 700000."
2361,3 BHK Residential Apartment for rent in Jaya Mahal layout,Jaya Mahal layout,Neeladri Mahal,40000,2000,3,3,"A very good 3 bhk flat for rent in neeladri mahal, jaya mahal layout, bangalore north. It is a superb property and offers an excellent view. The flat is semifurnished with multiple amenities and promises a comfortable stay. It is feng shui/vaastu compliant, which is considered to bring positive energy. It has a super built-Up area of 2000 sq. Ft. Other facilities include lift(S), intercom facility, security/fire alarm, park, visitor parking and water storage etc. It also has vitrified flooring. North-East facing. 1 covered parking. Full power back up."
2362,3 BHK Residential Apartment for rent in Whitefield,Whitefield,Chaitanya Armadale,32500,2200,3,3,"Zero brokerage fee.
We have a 3bhk villa available for rent in chaithanya armadale near to forum mall whitefield,bangalore. Its a semi furnished with chimney,modular kitchen,wardrobes,lights,fans.The amenities like reserved parking,24/7 water storage facility ,visitor parking,24/7 power back up,gym.This flat with north facing with a vitrified flooring flat.This flat is immediately available to occupy.

Land mark : Whitefield forum mall."
2363,2 BHK Residential Apartment for rent in Jakkur,Jakkur,Brigade Northridge,25000,1230,2,2,"2 bhk apartment for rent in jakkur, bangalore north. It is a semi-Furnished apartment, located on the 8th floor of 12 floors. The apartment has 2 bedrooms 2 bathrooms 1 balcony(S). It is also equipped with 3 wardrobe(S), 1 modular kitchen, 2 geyser(S), 4 fan(S), 20 light(S), 1 curtain(S), 1 chimney(S) and 1 exhaust fan(S). It is immediately available for single men and single women for rs. 25000 monthly. It is a 0-1 years and also has 1 covered parking. It has a super built-Up area of 1230. 0 sq. Ft. There is a monthly maintenance cost of rs. 1. Tenant needs to make a security deposit of rs. 150000.
 Additional details :

The society has dedicated security guards for every tower.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
Piped gas facility is available in the property."
2364,2 BHK Independent Builder Floor for rent in Bahubali Nagar,Bahubali Nagar,,18000,920,2,2,"Address: Bahubali nagar bangalore north a 900 sq. Feet, 2 bedroom house on the 1st and 2nd floor, situated in a quite area near bel road, bahubali nagar bangalore north. This property with marble flooring, teak wood doors , good quality lighting fixtures(Including fan fixtures), geyser, granite kitchen counter tops with storage units, chimney and cabinets and modern bathroom fittings.
 Additional details :

You can easily park your car inside the compound.
Each house has a dedicated water tank.
 The house has boring.
No power backup available.
The kitchen has been built with modular fittings.
Piped gas facility is available.
This is a corner house property."
